County,Total_Population19,Male populatio 2019,Female population 2019,Households,Av_HH_Size,LandArea,Population Density,Population in 2009,Pop_change,Intersex population 2019
Baringo,666763.00,"336,322","330,428","142,518",5,"10,976",61,"555,561","111,202",13
Bomet,875689.00,"434,287","441,379","187,641",5,"2,531",346,"724,186","151,503",23
Bungoma,1670570.00,"812,146","858,389","358,796",5,"3,024",552,"1,630,934","39,636",35
Busia,893681.00,"426,252","467,401","198,152",5,"1,696",527,"488,075","405,606",28
Elgeyo-Marakwet,454480.00,"227,317","227,151","99,861",5,"3,032",150,"369,998","84,482",12
Embu,608599.00,"304,208","304,367","182,743",3,"2,821",216,"516,212","92,387",24
Garissa,841353.00,"458,975","382,344","141,394",6,"44,736",19,"623,060","218,293",34
Homa Bay,1131950.00,"539,560","592,367","262,036",4,"3,153",359,"963,794","168,156",23
Isiolo,268002.00,"139,510","128,483","58,072",5,"25,350",11,"143,294","124,708",9
Kajiado,1117840.00,"557,098","560,704","316,179",4,"21,871",51,"687,312","430,528",38
Kakamega,1867579.00,"897,133","970,406","433,207",4,"3,020",618,"1,660,651","206,928",40
Kericho,901777.00,"450,751","451,008","206,036",4,"2,436",370,"758,339","143,438",28
Kiambu,2417735.00,"1,187,146","1,230,454","795,241",3,"2,539",952,"1,623,282","794,453",135
Kilifi,1453787.00,"704,089","749,673","298,472",5,"12,540",116,"1,109,735","344,052",25
Kirinyaga,610411.00,"302,011","308,369","204,188",3,"1,478",413,"528,054","82,357",31
Kisii,1266860.00,"605,784","661,038","308,054",4,"1,323",958,"1,152,282","114,578",38
Kisumu,1155574.00,"560,942","594,609","300,745",4,"2,085",554,"968,909","186,665",23
Kitui,1136187.00,"549,003","587,151","262,942",4,"30,430",37,"1,012,709","123,478",33
Kwale,866820.00,"425,121","441,681","173,176",5,"8,267",105,"649,931","216,889",18
Laikipia,518580.00,"259,440","259,102","149,271",3,"9,532",54,"399,227","119,353",18
Lamu,143920.00,"76,103","67,813","37,963",4,"6,253",23,"101,539","42,381",4
Machakos,1421932.00,"710,707","711,191","402,466",4,"6,043",235,"1,098,584","323,348",34
Makueni,987653.00,"489,691","497,942","244,669",4,"8,170",121,"884,527","103,126",20
Mandera,867457.00,"434,976","432,444","125,763",7,"25,940",33,"1,025,756","-158,299",37
Marsabit,459785.00,"243,548","216,219","77,495",6,"70,944",6,"291,166","168,619",18
Meru,1545714.00,"767,698","777,975","426,360",4,"7,006",221,"1,356,301","189,413",41
Migori,1116436.00,"536,187","580,214","240,168",5,"2,614",427,"917,170","199,266",35
Mombasa,1208333.00,"610,257","598,046","378,422",3,220,"5,495","939,370","268,963",30
Murang'a,1056640.00,"523,940","532,669","318,105",3,"2,524",419,"942,581","114,059",31
Nairobi,4397073.00,"2,192,452","2,204,376","1,506,888",3,704,"6,247","3,138,369","1,258,704",245
Nakuru,2162202.00,"1,077,272","1,084,835","616,046",4,"7,462",290,"1,603,325","558,877",95
Nandi,885711.00,"441,259","444,430","199,426",4,"2,856",310,"752,965","132,746",22
Narok,1157873.00,"579,042","578,805","241,125",5,"17,950",65,"850,920","306,953",26
Nyamira,605576.00,"290,907","314,656","150,669",4,897,675,"598,252","7,324",13
Nyandarua,638289.00,"315,022","323,247","179,686",4,"3,286",194,"596,268","42,021",20
Nyeri,759164.00,"374,288","384,845","248,050",3,"3,325",228,"693,558","65,606",31
Samburu,310327.00,"156,774","153,546","65,910",5,"21,065",15,"223,947","86,380",7
Siaya,993183.00,"471,669","521,496","250,698",4,"2,530",393,"842,304","150,879",18
Taita Taveta,340671.00,"173,337","167,327","96,429",4,"17,152",20,"284,657","56,014",7
Tana River,315943.00,"158,550","157,391","68,242",5,"37,951",8,"240,075","75,868",2
Tharaka-Nithi,393177.00,"193,764","199,406","109,860",4,"2,564",153,"365,330","27,847",7
Trans Nzoia,990341.00,"489,107","501,206","223,808",4,"2,495",397,"818,757","171,584",28
Turkana,926976.00,"478,087","448,868","164,519",6,"68,233",14,"855,399","71,577",21
Uasin Gishu,1163186.00,"580,269","582,889","304,943",4,"3,392",343,"894,179","269,007",28
Vihiga,590013.00,"283,678","306,323","143,365",4,564,"1,047","554,622","35,391",12
Wajir,781263.00,"415,374","365,840","127,932",6,"56,773",14,"661,941","119,322",49
West Pokot,621241.00,"307,013","314,213","116,182",5,"9,123",68,"512,690","108,551",15
