county,DIC_googleCt,DIC_fittedCt,LPD_googleCt,LPD_fittedCt,PosteriorpredicitveP_fittedCt,PosteriorpredicitveP_googleCt,Delta DIC,Delta 2*LPD
Baringo,133.6500814,123.0956294,8.936493705,9.352464256,0.73,0.731,10.554452,-0.831941101
Bomet,284.2690575,262.4452218,29.775551,30.07084739,0.503,0.586,21.82383567,-0.590592784
Bungoma,289.3977354,268.5749954,0.99715836,0.998007796,0.704,0.583,20.82273998,-0.001698872
Busia,855.4159986,789.260623,10.58807064,10.6973478,0.694,0.684,66.15537557,-0.218554317
Elgeyo Marakwet,91.84420238,88.16883634,5.909151813,5.615407106,0.827,0.695,3.675366039,0.587489413
Embu,303.9373669,286.7076333,12.25162338,13.06313315,0.662,0.772,17.22973367,-1.623019558
Garissa,532.4998676,514.6203924,34.16474056,34.88474845,0.442,0.462,17.8794752,-1.440015785
HomaBay,207.146954,201.0032738,0.99774724,0.99797316,0.706,0.715,6.143680225,-0.00045184
Isiolo,229.2332808,226.0931983,14.29462018,14.85392109,0.669,0.702,3.14008251,-1.118601818
Kajiado,961.470795,932.0234127,71.42490265,71.75276939,0.515,0.665,29.44738234,-0.655733479
Kakamega,342.6016045,313.7402347,5.763803759,5.744550422,0.775,0.72,28.86136981,0.038506673
Kericho,443.0574273,419.3387583,17.72285297,15.87419803,0.774,0.594,23.71866895,3.697309889
Kiambu,1050.788482,1014.763127,155.6126052,154.7777346,0.502,0.57,36.02535459,1.669741221
Kilifi,558.3506967,525.4174763,10.36659311,10.86741753,0.665,0.739,32.93322041,-1.001648825
Kirinyaga,165.0021361,162.4163453,6.883116565,7.129134825,0.707,0.682,2.585790866,-0.492036521
Kisii,457.9791573,432.7020562,16.10478966,16.01547316,0.686,0.658,25.27710114,0.178633012
Kisumu,689.5635337,640.9974986,20.885682,21.34957587,0.674,0.688,48.56603502,-0.92778774
Kitui,393.2374385,376.4646218,24.96429071,24.51519901,0.631,0.534,16.7728167,0.8981834
Kwale,358.9604972,332.7267195,0.99625695,0.997289384,0.663,0.603,26.23377771,-0.002064867
Laikipia,341.7814483,335.5218657,31.66026579,31.97385793,0.681,0.672,6.259582646,-0.627184297
Lamu,225.5629682,221.0838469,20.47239778,19.76923235,0.698,0.675,4.479121293,1.406330862
Machakos,883.9252071,848.6767675,56.41894888,56.28270952,0.538,0.616,35.24843958,0.27247871
Makueni,457.8626255,425.1470669,17.14484902,19.14862473,0.696,0.772,32.71555854,-4.007551413
Mandera,202.2124574,149.8127165,9.780538104,9.600460552,0.772,0.793,52.3997409,0.360155104
Marsabit,147.0742899,124.2892965,0.995048776,0.995788136,0.675,0.644,22.78499341,-0.00147872
Meru,459.49744,419.4541899,20.10009697,19.71674378,0.711,0.637,40.04325007,0.766706376
Migori,578.549541,556.5335773,19.64298335,18.85718301,0.555,0.582,22.01596364,1.571600671
Mombasa,1202.664182,1143.032925,170.5504084,172.7825879,0.55,0.515,59.6312571,-4.464358929
Muranga,400.5358291,391.2120625,23.83967483,23.59094816,0.719,0.637,9.323766676,0.497453339
Nairobi,1694.4119,1670.53451,307.6793436,299.478708,0.189,0.182,23.87738948,16.40127119
Nakuru,813.9012599,771.4750282,76.54939429,69.41827834,0.551,0.333,42.42623161,14.26223189
Nandi,272.6648035,264.4681819,5.279724507,5.003341113,0.822,0.809,8.19662168,0.55276679
Narok,408.1857522,391.8324613,39.19839846,38.73813611,0.65,0.537,16.35329084,0.920524697
Nyamira,195.6798298,180.6248237,0.996140956,0.996315223,0.655,0.692,15.05500607,-0.000348535
Nyandarua,192.3835212,186.6803792,10.11070749,9.633162133,0.757,0.748,5.703141985,0.955090718
Nyeri,409.7181717,388.8659079,31.8898733,31.01884601,0.713,0.672,20.85226386,1.74205458
Samburu,115.3576605,111.6456204,0.992829341,0.993612189,0.656,0.723,3.712040049,-0.001565697
Siaya,400.815609,372.5567695,13.94899559,14.59461229,0.509,0.448,28.25883947,-1.291233413
Taita Taveta,570.3672708,501.600377,6.327198719,5.905302755,0.775,0.738,68.76689372,0.843791928
Tana River,89.21545041,86.89269639,0.995177455,0.993956134,0.634,0.678,2.322754021,0.002442643
Tharaka Nithi,143.0630956,130.5806006,15.8526145,14.99622878,0.562,0.572,12.48249506,1.712771453
Trans Nzoia,340.8082302,327.3884133,8.794127436,8.685654738,0.774,0.817,13.41981688,0.216945396
Turkana,356.776794,331.8952887,14.39265003,14.22511292,0.795,0.757,24.8815053,0.335074215
Uasin Gishu,742.4698261,706.8886893,52.83921344,51.41197444,0.488,0.5,35.58113677,2.854478006
Vihiga,227.53271,218.961893,5.521913508,5.630403626,0.804,0.83,8.570817044,-0.216980236
Wajir,237.7870304,181.8967687,5.800906625,5.159736182,0.786,0.754,55.89026171,1.282340886
West Pokot,417.9330456,391.8602148,0.997885078,0.998348495,0.653,0.629,26.07283081,-0.000926835
