sampledates,NAIROBI_posswabtest,NAIROBI_negswabtest,MOMBASA_posswabtest,MOMBASA_negswabtest,KAJIADO_posswabtest,KAJIADO_negswabtest,KIAMBU_posswabtest,KIAMBU_negswabtest,KILIFI_posswabtest,KILIFI_negswabtest,KISUMU_posswabtest,KISUMU_negswabtest,MACHAKOS_posswabtest,MACHAKOS_negswabtest,UASIN GISHU_posswabtest,UASIN GISHU_negswabtest,VIHIGA_posswabtest,VIHIGA_negswabtest,ISIOLO_posswabtest,ISIOLO_negswabtest,NAKURU_posswabtest,NAKURU_negswabtest,BUNGOMA_posswabtest,BUNGOMA_negswabtest,BUSIA_posswabtest,BUSIA_negswabtest,GARISSA_posswabtest,GARISSA_negswabtest,HOMABAY_posswabtest,HOMABAY_negswabtest,KERICHO_posswabtest,KERICHO_negswabtest,KISII_posswabtest,KISII_negswabtest,KITUI_posswabtest,KITUI_negswabtest,KWALE_posswabtest,KWALE_negswabtest,LAMU_posswabtest,LAMU_negswabtest,MAKUENI_posswabtest,MAKUENI_negswabtest,MARSABIT_posswabtest,MARSABIT_negswabtest,MIGORI_posswabtest,MIGORI_negswabtest,NAROK_posswabtest,NAROK_negswabtest,NYAMIRA_posswabtest,NYAMIRA_negswabtest,NYERI_posswabtest,NYERI_negswabtest,SIAYA_posswabtest,SIAYA_negswabtest,TAITA TAVETA_posswabtest,TAITA TAVETA_negswabtest,TANA RIVER_posswabtest,TANA RIVER_negswabtest,TRANS NZOIA_posswabtest,TRANS NZOIA_negswabtest,TURKANA_posswabtest,TURKANA_negswabtest,WAJIR_posswabtest,WAJIR_negswabtest,BARINGO_posswabtest,BARINGO_negswabtest,BOMET_posswabtest,BOMET_negswabtest,ELGEYO MARAKWET_posswabtest,ELGEYO MARAKWET_negswabtest,EMBU_posswabtest,EMBU_negswabtest,KAKAMEGA_posswabtest,KAKAMEGA_negswabtest,KIRINYAGA_posswabtest,KIRINYAGA_negswabtest,LAIKIPIA_posswabtest,LAIKIPIA_negswabtest,MANDERA_posswabtest,MANDERA_negswabtest,MERU_posswabtest,MERU_negswabtest,MURANGA_posswabtest,MURANGA_negswabtest,NANDI_posswabtest,NANDI_negswabtest,NYANDARUA_posswabtest,NYANDARUA_negswabtest,SAMBURU_posswabtest,SAMBURU_negswabtest,THARAKA NITHI_posswabtest,THARAKA NITHI_negswabtest,WEST POKOT_posswabtest,WEST POKOT_negswabtest
21/02/2020,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
22/02/2020,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
23/02/2020,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
24/02/2020,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
25/02/2020,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
26/02/2020,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
27/02/2020,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
28/02/2020,2,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
29/02/2020,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
01/03/2020,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
