iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
KEN,Africa,Kenya,06/03/2020,,,,,,,,,,31,0.001,,,,units unclear,13.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,07/03/2020,,,,,,,,,,,,,,,units unclear,13.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,08/03/2020,,,,,,,,,,,,,,,units unclear,13.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,09/03/2020,,,,,,,,,,,,,,,units unclear,13.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,10/03/2020,,,,,,,,,,,,,,,units unclear,13.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,11/03/2020,,,,,,,,,,,,,,,units unclear,13.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,12/03/2020,,,,,,,,,,,,,,,units unclear,13.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,13/03/2020,,,,,,,,,,,,,7,0,units unclear,36.11,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,14/03/2020,1,1,0,0,0.019,0.019,0,0,,,,,7,0,units unclear,36.11,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,15/03/2020,1,0,0,0,0.019,0,0,0,,,,,7,0,units unclear,50.93,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,16/03/2020,3,2,0,0,0.056,0.037,0,0,,,,,7,0,units unclear,56.48,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,17/03/2020,3,0,0,0,0.056,0,0,0,,111,0.002,,7,0,units unclear,56.48,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,18/03/2020,4,1,0,0,0.074,0.019,0,0,21,132,0.002,0,9,0,units unclear,56.48,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,19/03/2020,7,3,0,0,0.13,0.056,0,0,41,173,0.003,0.001,14,0,units unclear,56.48,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,20/03/2020,7,0,0,0,0.13,0,0,0,,,,,22,0,units unclear,62.04,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,21/03/2020,7,0,0,0,0.13,0,0,0,,,,,29,0.001,units unclear,62.04,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,22/03/2020,7,0,0,0,0.13,0,0,0,,,,,37,0.001,units unclear,62.04,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,23/03/2020,15,8,0,0,0.279,0.149,0,0,,,,,45,0.001,units unclear,62.04,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,24/03/2020,16,1,0,0,0.298,0.019,0,0,,,,,52,0.001,units unclear,65.74,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,25/03/2020,25,9,0,0,0.465,0.167,0,0,,,,,58,0.001,units unclear,68.52,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,26/03/2020,25,0,0,0,0.465,0,0,0,,600,0.011,,61,0.001,units unclear,68.52,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,27/03/2020,31,6,1,1,0.577,0.112,0.019,0.019,,,,,69,0.001,units unclear,87.04,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,28/03/2020,31,0,1,0,0.577,0,0.019,0,,833,0.015,,77,0.001,units unclear,87.04,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,29/03/2020,38,7,1,0,0.707,0.13,0.019,0,69,902,0.017,0.001,78,0.001,units unclear,87.04,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,30/03/2020,42,4,1,0,0.781,0.074,0.019,0,172,1074,0.02,0.003,94,0.002,units unclear,87.04,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
KEN,Africa,Kenya,31/03/2020,50,8,1,0,0.93,0.149,0.019,0,234,1308,0.024,0.004,119,0.002,units unclear,87.04,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
